name,parent,finish,wins,ties,losses,goalsfor,goalsagainst,crest
wEngland,null,Champions,6,1,0,14,5,argentina.jpg
fEngland,wEngland,Champions,6,1,0,14,5,argentina.jpg
fWest Germany,wEngland,Runners up,4,1,2,8,7,germany_west.jpg
sPortugal,fEngland,Champions,6,1,0,14,5,argentina.jpg
sEngland,fEngland,Semi-finals,3,1,3,12,15,belgium.jpg
sWest Germany,fWest Germany,Runners up,4,1,2,8,7,germany_west.jpg
sSoviet Union,fWest Germany,Semi-finals,5,1,1,12,6,france.jpg
qWest Germany,sWest Germany,Champions,6,1,0,14,5,argentina.jpg
qUruguay,sWest Germany,Quarter-finals,2,1,2,7,3,england.jpg
qNorth Korea,sPortugal,Quarter-finals,3,0,2,11,4,spain.jpg
qPortugal,sPortugal,Semi-finals,3,1,3,12,15,belgium.jpg
qSoviet Union,sSoviet Union,Quarter-finals,4,0,1,10,2,brazil.jpg
qHungary,sSoviet Union,Semi-finals,5,1,1,12,6,france.jpg
qArgentina,sEngland,Runners up,4,1,2,8,7,germany_west.jpg
qEngland,sEngland,Quarter-finals,3,1,1,6,2,mexico.jpg
