Team,Finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Algeria,Group stage,0,1,2,2,6
Argentina,Champions,6,1,0,14,5
Belgium,Semi-finals,3,1,3,12,15
Brazil,Quarter-finals,4,0,1,10,2
Bulgaria,Last 16,0,2,2,2,6
Canada,Group stage,0,0,3,0,5
Denmark,Last 16,3,0,1,10,6
England,Quarter-finals,2,1,2,7,3
France,Semi-finals,5,1,1,12,6
Germany,Runners up,4,1,2,8,7
Hungary,Group stage,1,0,2,2,9
Iraq,Group stage,0,0,3,1,4
Italy,Last 16,1,2,1,5,6
Morocco,Last 16,1,2,1,3,2
Mexico,Quarter-finals,3,1,1,6,2
North Korea,Group stage,0,1,2,4,7
Northern Ireland,Group stage,0,1,2,2,6
Paraguay,Last 16,1,2,1,4,7
Poland,Last 16,1,1,2,1,7
Portugal,Group stage,1,0,2,2,4
Scotland,Group stage,0,1,2,1,3
Soviet Union,Last 16,2,1,1,12,5
Spain,Quarter-finals,3,0,2,11,4
Uruguay,Last 16,0,2,2,2,8
