Team,finish,Wins,Ties,Losses,Goalsfor,Goalsagainst
Algeria,Group stage,0,1,2,0,2
Argentina,Quarter-finals,4,0,1,10,6
Australia,Group stage,1,1,1,3,6
Brazil,Quarter-finals,3,1,1,9,4
Cameroon,Group stage,0,0,3,2,5
Chile,Last 16,2,0,2,3,5
Denmark,Group stage,1,0,2,3,6
England,Last 16,1,2,1,3,5
France,Group stage,0,1,2,1,4
Germany,Semi-finals,5,0,2,16,5
Ghana,Quarter-finals,2,1,2,5,4
Greece,Group stage,1,0,2,2,5
Honduras,Group stage,0,1,2,0,3
Italy,Group stage,0,2,1,4,5
Ivory Coast,Group stage,1,1,1,4,3
Japan,Last 16,2,0,2,4,2
Mexico,Last 16,1,1,2,4,5
Netherlands,Runners up,6,0,1,12,6
New Zealand,Group stage,0,3,0,2,2
North Korea,Group stage,0,0,3,1,12
Nigeria,Group stage,0,1,2,3,5
Paraguay,Quarter-finals,2,2,1,3,2
Portugal,Quarter-finals,1,2,1,7,1
Serbia,Group stage,1,0,2,2,3
Slovakia,Last 16,1,1,2,5,7
Slovenia,Group stage,1,1,1,3,3
South Africa,Group stage,1,1,1,3,3
South Korea,Last 16,1,1,2,6,8
Spain,Champion,6,0,1,8,2
Switzerland,Group stage,1,1,1,1,1
USA,Last 16,1,2,1,5,5
Uruguay,Semi-Finalist,4,1,2,11,8
