Year,Champion,GoldenBall,GoldenBoot,GoldenGlove
2014,Germany, LionelMessi,JamesRodriguez,ManuelNeuer
2010,Spain, DiegoForlan,ThomasMueller,IkerCasillas
2006,Italy, ZinedineZidane,MiroslavKlose,GianluigiBuffon
2002,Brazil, OliverKahn,Ronaldo,OliverKahn
1998,France, Ronaldo,DavorSuker,FabianBarthez
1994,Brazil, Romário,HristoStoichkov,MichelPreudhomme
1990,Germany, SalvatoreSchillaci,SalvatoreSchillaci,RobertProsinecki
1986,Argentina, DiegoMaradona,GaryLineker,EnzoScifo
1982,Italy, PauloRossi,PauloRossi, ManuelAmoros
1978,Argentina, MarioKempes, MarioKempes, NotAwarded
1974,Germany, GrzegorzLato, GrzegorzLato, NotAwarded
1970,Brazil, NotAwarded, GerdMueller, NotAwarded
1966,England, NotAwarded, Eusebio, NotAwarded
1962,Brazil, NotAwarded, NotAwarded, NotAwarded
1958,Brazil, NotAwarded,JustFontaine, NotAwarded
1954,Germany, NotAwarded,SandorKocsis, NotAwarded
1950,Uruguay, NotAwarded,Ademir, NotAwarded
1938,Italy, NotAwarded,Leonidas, NotAwarded
1934,Italy, NotAwarded,OldrichNejedly, NotAwarded
1930,Uruguay, NotAwarded,GuillermoStabile, NotAwarded
